Strawberry,24.0,11.0,2.0,40.0,22.0,6.0,187.0,44.0,14.0
SwedishLeaf,10.0,9.0,5.0,22.0,15.0,10.0,77.0,39.0,35.0
Symbols,123.0,13.0,6.0,169.0,15.0,12.0,196.0,33.0,15.0
synthetic,14.0,14.0,10.0,37.0,38.0,28.0,58.0,58.0,54.0
ToeSegmentation1,208.0,11.0,8.0,249.0,21.0,16.0,274.0,60.0,43.0
ToeSegmentation2,21.0,12.0,6.0,40.0,19.0,12.0,240.0,56.0,34.0
Trace,6.0,11.0,2.0,20.0,20.0,7.0,207.0,81.0,30.0
TwoLeadECG,29.0,10.0,2.0,37.0,19.0,4.0,71.0,53.0,14.0
Two,15.0,12.0,7.0,37.0,25.0,20.0,115.0,110.0,105.0
UWaveGestureLibraryAll,12.0,27.0,17.0,26.0,32.0,28.0,125.0,83.0,59.0
uWaveGestureLibrary,5.0,10.0,5.0,10.0,12.0,10.0,43.0,28.0,20.0
wafer,14.0,11.0,4.0,38.0,30.0,11.0,135.0,128.0,50.0
Wine,9.0,10.0,2.0,28.0,20.0,2.0,113.0,73.0,9.0
WordsSynonyms,9.0,10.0,7.0,17.0,14.0,11.0,69.0,30.0,27.0
Worms,10.0,26.0,8.0,26.0,30.0,17.0,126.0,61.0,41.0
WormsTwoClass,10.0,26.0,8.0,25.0,30.0,17.0,114.0,62.0,41.0
yoga,10.0,13.0,3.0,47.0,15.0,11.0,70.0,21.0,16.0
